id,bottom_left_longitude,bottom_left_latitude,top_right_longitude,top_right_latitude,school
323,-2.514308596,51.84022484,-2.499946192,51.84920798,0
324,-2.514308596,51.83124171,-2.499946192,51.84022484,0
325,-2.514308596,51.82225858,-2.499946192,51.83124171,1
326,-2.514308596,51.81327545,-2.499946192,51.82225858,1
327,-2.514308596,51.80429232,-2.499946192,51.81327545,0
328,-2.514308596,51.79530919,-2.499946192,51.80429232,0
329,-2.514308596,51.78632606,-2.499946192,51.79530919,0
330,-2.514308596,51.77734293,-2.499946192,51.78632606,0
331,-2.514308596,51.7683598,-2.499946192,51.77734293,0
332,-2.514308596,51.75937667,-2.499946192,51.7683598,0
333,-2.514308596,51.75039353,-2.499946192,51.75937667,0
334,-2.514308596,51.7414104,-2.499946192,51.75039353,0
335,-2.514308596,51.73242727,-2.499946192,51.7414104,0
336,-2.514308596,51.72344414,-2.499946192,51.73242727,0
337,-2.514308596,51.71446101,-2.499946192,51.72344414,0
338,-2.514308596,51.70547788,-2.499946192,51.71446101,0
339,-2.514308596,51.69649475,-2.499946192,51.70547788,0
340,-2.514308596,51.68751162,-2.499946192,51.69649475,0
341,-2.514308596,51.67852849,-2.499946192,51.68751162,0
342,-2.514308596,51.66954535,-2.499946192,51.67852849,0
343,-2.514308596,51.66056222,-2.499946192,51.66954535,0
344,-2.514308596,51.65157909,-2.499946192,51.66056222,0
345,-2.514308596,51.64259596,-2.499946192,51.65157909,0
346,-2.514308596,51.63361283,-2.499946192,51.64259596,0
347,-2.514308596,51.6246297,-2.499946192,51.63361283,0
348,-2.514308596,51.61564657,-2.499946192,51.6246297,0
349,-2.514308596,51.60666344,-2.499946192,51.61564657,4
350,-2.514308596,51.59768031,-2.499946192,51.60666344,0
351,-2.514308596,51.58869717,-2.499946192,51.59768031,0
352,-2.514308596,51.57971404,-2.499946192,51.58869717,0
353,-2.514308596,51.57073091,-2.499946192,51.57971404,0
354,-2.514308596,51.56174778,-2.499946192,51.57073091,0
355,-2.514308596,51.55276465,-2.499946192,51.56174778,0
356,-2.514308596,51.54378152,-2.499946192,51.55276465,0
357,-2.514308596,51.53479839,-2.499946192,51.54378152,0
358,-2.514308596,51.52581526,-2.499946192,51.53479839,2
359,-2.514308596,51.51683213,-2.499946192,51.52581526,1
360,-2.514308596,51.507849,-2.499946192,51.51683213,2
361,-2.514308596,51.49886586,-2.499946192,51.507849,2
362,-2.514308596,51.48988273,-2.499946192,51.49886586,0
363,-2.514308596,51.4808996,-2.499946192,51.48988273,2
364,-2.514308596,51.47191647,-2.499946192,51.4808996,0
365,-2.514308596,51.46293334,-2.499946192,51.47191647,3
366,-2.514308596,51.45395021,-2.499946192,51.46293334,4
367,-2.514308596,51.44496708,-2.499946192,51.45395021,1
368,-2.514308596,51.43598395,-2.499946192,51.44496708,0
369,-2.514308596,51.42700082,-2.499946192,51.43598395,0
370,-2.514308596,51.41801768,-2.499946192,51.42700082,0
371,-2.514308596,51.40903455,-2.499946192,51.41801768,3
372,-2.514308596,51.40005142,-2.499946192,51.40903455,1
373,-2.514308596,51.39106829,-2.499946192,51.40005142,0
374,-2.514308596,51.38208516,-2.499946192,51.39106829,0
375,-2.514308596,51.37310203,-2.499946192,51.38208516,0
376,-2.514308596,51.3641189,-2.499946192,51.37310203,0
377,-2.514308596,51.35513577,-2.499946192,51.3641189,0
378,-2.514308596,51.34615264,-2.499946192,51.35513577,0
379,-2.514308596,51.3371695,-2.499946192,51.34615264,0
380,-2.514308596,51.32818637,-2.499946192,51.3371695,0
381,-2.514308596,51.31920324,-2.499946192,51.32818637,2
382,-2.514308596,51.31022011,-2.499946192,51.31920324,0
383,-2.514308596,51.30123698,-2.499946192,51.31022011,2
384,-2.514308596,51.29225385,-2.499946192,51.30123698,1
385,-2.514308596,51.28327072,-2.499946192,51.29225385,0
386,-2.514308596,51.27428759,-2.499946192,51.28327072,0
387,-2.514308596,51.26530446,-2.499946192,51.27428759,1
388,-2.514308596,51.25632133,-2.499946192,51.26530446,1
389,-2.514308596,51.24733819,-2.499946192,51.25632133,1
390,-2.514308596,51.23835506,-2.499946192,51.24733819,0
391,-2.514308596,51.22937193,-2.499946192,51.23835506,0
392,-2.514308596,51.2203888,-2.499946192,51.22937193,0
393,-2.514308596,51.21140567,-2.499946192,51.2203888,0
394,-2.514308596,51.20242254,-2.499946192,51.21140567,0
395,-2.514308596,51.19343941,-2.499946192,51.20242254,0
396,-2.514308596,51.18445628,-2.499946192,51.19343941,0
397,-2.514308596,51.17547315,-2.499946192,51.18445628,0
398,-2.514308596,51.16649001,-2.499946192,51.17547315,0
399,-2.514308596,51.15750688,-2.499946192,51.16649001,0
400,-2.514308596,51.14852375,-2.499946192,51.15750688,0
401,-2.514308596,51.13954062,-2.499946192,51.14852375,0
402,-2.514308596,51.13055749,-2.499946192,51.13954062,0
403,-2.514308596,51.12157436,-2.499946192,51.13055749,0
404,-2.514308596,51.11259123,-2.499946192,51.12157436,0
405,-2.514308596,51.1036081,-2.499946192,51.11259123,0
406,-2.514308596,51.09462497,-2.499946192,51.1036081,0
407,-2.514308596,51.08564183,-2.499946192,51.09462497,0
408,-2.514308596,51.0766587,-2.499946192,51.08564183,0
409,-2.514308596,51.06767557,-2.499946192,51.0766587,0
